更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,日下工業株式会社,その他,求人なし,埼玉県上尾市大字平方2071日下ビル 1Ｆ,1974,代表取締役 桑田 常富,10 百万円,,,,
2024-08-01,社会福祉法人富士厚生会,特殊法人・財団法人・その他団体・連合会,求人なし,静岡県富士宮市上井出2029-1,1975,理事長 仲亀 透,"5,609 百万円",,,,
2024-08-01,株式会社マルキュウ商事,その他,求人なし,埼玉県上尾市大字地頭方400-1,1956,代表取締役 松澤 里江,10 百万円,,,,
2024-08-01,株式会社ホテル山浦,その他,求人なし,北海道釧路市阿寒町阿寒湖温泉1-6-1,1960,代表取締役 大西 雅之,50 百万円,,,,
2024-08-01,株式会社小野田総合設備,その他,求人なし,静岡県富士宮市小泉1398-3,1980,代表取締役 小野田 たくみ,20 百万円,,,,
2024-08-01,阿寒農業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,北海道釧路市阿寒町北新町1-4-1,1948,代表理事 野村 宏,763 百万円,,,,
2024-08-01,株式会社アルパイン・エンタープライズ,その他,求人なし,静岡県富士市厚原327-1,1983,代表取締役 加藤 浩子,10 百万円,,,,
2024-08-01,三山産業株式会社,その他,求人なし,広島県広島市中区十日市町2-1-251104,1972,代表取締役 尾﨑 義久,12 百万円,,,,
2024-08-01,株式会社埼玉工芸,その他,求人なし,埼玉県上尾市大字領家1159,1985,代表取締役 濵田 哲也,10 百万円,,,,
2024-08-01,株式会社共栄,その他,求人なし,静岡県富士宮市浅間町12-15,1975,代表取締役 伊藤 慶晃,10 百万円,,,,
2024-08-01,有限会社矢崎設備,その他,求人なし,静岡県富士宮市宮原157-1,1993,代表取締役 矢崎 雄亮,5 百万円,,,,
2024-08-01,エヌビーシー株式会社,その他,求人なし,静岡県富士宮市淀師1569-1,1970,代表取締役 西川 大介,10 百万円,,,,
2024-08-01,株式会社三慶商事,その他,求人なし,埼玉県さいたま市岩槻区大字表慈恩寺1497,1984,代表取締役 趙 顕洙,90 百万円,,,,
2024-08-01,株式会社北陽,その他,求人なし,埼玉県上尾市柏座4-4-19,1987,代表取締役 小田切 健治,13 百万円,,,,
2024-08-01,有限会社幸永運輸,その他,求人なし,北海道釧路市大楽毛5-7-3,1968,代表取締役 松田 行央,5 百万円,,,,
2024-08-01,医療法人社団更生会,その他,求人なし,広島県広島市西区草津梅が台10-1,1954,理事長 佐藤 悟朗,"2,855 百万円",,,,
2024-08-01,株式会社タワ商会,その他,求人なし,広島県広島市西区楠木町1-15-16第1若宮ビル 1Ｆ,1982,代表取締役 宇川 浩由,10 百万円,,,,
2024-08-01,松電産業株式会社,その他,求人なし,広島県広島市西区楠木町1-7-7,1972,代表取締役 岡田 幹憲,10 百万円,,,,
2024-08-01,紅和株式会社,その他,求人なし,埼玉県上尾市緑丘3-4-9,1976,代表取締役 須田 潤一郎,100 百万円,,,,
2024-08-01,中春別農業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,北海道野付郡別海町中春別南町3,1974,代表理事 望月 英彦,"1,310 百万円",,,,
2024-08-01,別海漁業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,北海道野付郡別海町本別海1-95,1949,代表理事 福原 正純,946 百万円,,,,
2024-08-01,株式会社不二工芸製作所,その他,求人なし,静岡県富士宮市阿幸地町333,1979,代表取締役 前島 正容,10 百万円,,,,
2024-08-01,九一庵食品協業組合,特殊法人・財団法人・その他団体・連合会,求人なし,長崎県大村市東大村2-1808-1,1994,代表理事 前田 勝利,40 百万円,,,,
2024-08-01,株式会社ＨＤＫホールディングス,その他,求人なし,愛知県高浜市新田町5-1-17,1993,代表取締役 橋本 順一朗,5 百万円,,,,
2024-08-01,東和電子株式会社,その他,求人なし,広島県広島市西区西観音町17-19,1977,代表取締役 中野 和久,10 百万円,,,,
2024-08-01,エフ・ブイ商事株式会社,その他,求人なし,埼玉県上尾市大字西門前257-1,1979,代表取締役 飯島 良浩,10 百万円,,,,
2024-08-01,株式会社トヨス,その他,求人なし,埼玉県上尾市谷津1-6-36号,1991,代表取締役 奥山 雅樹,12 百万円,,,,
2024-08-01,株式会社ビジュアルビジョン,その他,求人なし,埼玉県さいたま市大宮区仲町1-54-3ビジョナリーⅢ 8Ｆ,1995,代表取締役 井沢 隆,35 百万円,,,,
2024-08-01,株式会社丸イ佐藤海産,その他,求人なし,北海道野付郡別海町尾岱沼潮見町113-2,2000,代表取締役 伊勢 健,20 百万円,,,,
2024-08-01,株式会社山岡晩翠園,その他,求人なし,広島県広島市西区己斐本町2-6-13,1971,代表取締役 山岡 秀樹,20 百万円,,,,
2024-08-01,横内林業株式会社,その他,求人なし,北海道標津郡中標津町北中25-18,1975,代表取締役 伊藤 友子,30 百万円,,,,
2024-08-01,山崎建設工業株式会社,その他,求人なし,北海道標津郡中標津町東二十三条北1-4-2,1981,代表取締役 山﨑 健一,20 百万円,,,,
2024-08-01,五島漁業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,長崎県五島市福江町1190-9,1997,代表理事 草野 正,373 百万円,,,,
2024-08-01,中標津林業株式会社,その他,求人なし,北海道標津郡中標津町南中1-1,1958,代表取締役 樋木 宏光,10 百万円,,,,
2024-08-01,広島バナナ株式会社,その他,求人なし,広島県広島市西区草津港1-1-14,1976,代表取締役 俊成 寿登,10 百万円,,,,
2024-08-01,サトウテック株式会社,パルプ・紙・木材 （商社）,求人なし,静岡県富士宮市山宮1115-2,1995,代表取締役 佐藤 晴久,10 百万円,,,,
2024-08-01,株式会社ヒロカシ,その他,求人なし,広島県広島市西区楠木町4-1-5,1981,代表取締役 有田 進一,1 百万円,,,,
2024-08-01,五島技建工業株式会社,その他,求人なし,長崎県五島市大円寺町6-1,1964,代表取締役 今村 伊久雄,20 百万円,,,,
2024-08-01,株式会社エル・コ,その他,求人なし,広島県広島市西区商工センター7-5-17,1965,代表取締役 沖野 直子,19 百万円,,,,
2024-08-01,株式会社フジ技研,その他,求人なし,広島県広島市西区庚午中4-9-23,1977,代表取締役 藤原 芳典,10 百万円,,,,
2024-08-01,株式会社富士エコサイクル,その他,求人なし,静岡県浜松市浜名区細江町中川1930-4,2000,代表取締役 嶋北 博史,200 百万円,,,,
2024-08-01,株式会社味のオーハシ,その他,求人なし,北海道標津郡中標津町大通北3-14,1979,代表取締役 大橋 清勝,10 百万円,,,,
2024-08-01,株式会社マスダ,その他,求人なし,長崎県五島市籠淵町2348-6,1993,代表取締役 増田 拓馬,10 百万円,,,,
2024-08-01,広島地区生コンクリート協同組合,その他,求人なし,広島県広島市西区草津南3-2-12広島地区生コンクリート会館,1974,代表理事 山田 巧,165 百万円,,,,
2024-08-01,株式会社シーバード,その他,無,大阪府吹田市江の木町28-16,1982,代表取締役 鳥取 良文,20 百万円,,,,
2024-08-01,株式会社中国カッター,その他,求人なし,広島県広島市西区福島町2-6-9,1975,代表取締役 西原 秀敏,10 百万円,,,,
2024-08-01,株式会社ヨーゼン,その他,求人なし,静岡県富士宮市三園平1250,1982,代表取締役 渡辺 容至,10 百万円,,,,
2024-08-01,有限会社セーフティ,その他,求人なし,北海道札幌市中央区南四条西6-8晴ばれビル9Ｆ,1999,代表取締役 木村 優文,3 百万円,,,,
2024-08-01,株式会社デコラム,その他,無,広島県広島市西区南観音6-11-9,1986,代表取締役 岩井 正貴,10 百万円,,,,■看板用フィルム材の販売■看板用フィルム材の加工施工■看板用フィルム材を加工する機器販売 2024年2月doda掲載求人より引用
2024-08-01,氏原製菓株式会社,その他,求人なし,静岡県伊東市岡1284,1951,代表取締役 内山 直樹,10 百万円,,,,
2024-08-01,標津漁業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,北海道標津郡標津町北六条東1-1-1,1949,代表理事 平井 敏雄,"3,165 百万円",,,,
2024-08-01,協同組合上尾モンシェリー,その他,求人なし,埼玉県上尾市谷津2-1-509,1968,代表理事 藤波 勇彦,90 百万円,,,,
2024-08-01,株式会社北海永徳,その他,求人なし,北海道標津郡標津町北十条東1-1-3,1997,代表取締役 永田 雄司,53 百万円,,,,
2024-08-01,アイナス商事株式会社,その他,求人なし,広島県広島市西区南観音5-16-7,1984,代表取締役 奥原 賢次郎,10 百万円,,,,
2024-08-01,羅臼漁業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,北海道目梨郡羅臼町船見町2-13,1949,代表理事 萬屋 昭洋,"3,845 百万円",,,,
2024-08-01,株式会社埼玉三技協,その他,求人なし,埼玉県上尾市大字領家98-1,1983,代表取締役 後藤 和史,15 百万円,,,,
2024-08-01,有限会社三友水質管理,その他,求人なし,埼玉県上尾市大字畔吉1061-6,1980,取締役 永渕 正一,8 百万円,,,,
2024-08-01,藤システムズ株式会社,その他,求人なし,広島県広島市西区中広町2-22-3,1990,代表取締役 藤山 雄治,15 百万円,,,,
2024-08-01,有限会社田崎電気商会,その他,求人なし,埼玉県上尾市大字上尾村1216-2,1972,代表取締役 田﨑 聡,3 百万円,,,,
2024-08-01,有限会社廿樂モータース,その他,求人なし,埼玉県上尾市緑丘3-2-3,1955,代表取締役 廿樂 佳明,5 百万円,,,,
2024-08-01,樋口商事株式会社,その他,求人なし,静岡県伊東市荻16-1,1967,代表取締役 樋口 公夫,10 百万円,,,,
2024-08-01,株式会社大有,その他,求人なし,広島県広島市西区天満町3-20,1977,代表取締役 植田 泰亘,10 百万円,,,,
2024-08-01,ダイヨシ建設株式会社,その他,求人なし,広島県広島市中区十日市町2-1-251104,1984,代表取締役 尾﨑 義久,10 百万円,,,,
2024-08-01,有限会社中妻自動車工業,その他,無,埼玉県上尾市中妻4-9-2,1989,代表取締役 髙橋 孝二,3 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 自動車４輪(板金・塗装・整備) 2023年6月doda掲載求人より引用
2024-08-01,日本緑茶株式会社,その他,求人なし,埼玉県上尾市大字上野35,1986,代表取締役 矢嶋 紀朗,10 百万円,,,,
2024-08-01,青森県漁業協同組合連合会,特殊法人・財団法人・その他団体・連合会,求人なし,青森県青森市安方1-1-32青森県水産ビル 3Ｆ,1949,代表理事 松下 誠四郎,630 百万円,,,,
2024-08-01,株式会社タイヨーデンキ,その他,求人なし,広島県広島市西区楠木町3-4-6梅田マンション 1Ｆ,1971,代表取締役 宮本 剣一,10 百万円,,,,
2024-08-01,青森ドライケミカル株式会社,その他,求人なし,青森県青森市港町2-6-12,1972,代表取締役 木立 正一,10 百万円,,,,
2024-08-01,青森郵便自動車株式会社,その他,求人なし,青森県青森市古川1-11-16,1953,代表取締役 倉内 信夫,10 百万円,,,,
2024-08-01,株式会社広交本社,その他,求人なし,広島県広島市西区三篠町3-14-17,1981,代表取締役 前 泰弘,20 百万円,,,,
2024-08-01,株式会社ストーンオフィス・モリシタ,その他,求人なし,広島県広島市西区三滝町7-4,1995,代表取締役 守下 康弘,15 百万円,,,,
2024-08-01,株式会社市川石油輸送,その他,求人なし,青森県青森市富田3-15-12,1973,代表取締役 市川 孝,52 百万円,,,,
2024-08-01,株式会社迫製作所,その他,求人なし,埼玉県草加市西町1101,1966,代表取締役 迫 和伸,10 百万円,,,,
2024-08-01,株式会社洋電社,その他,求人なし,青森県青森市橋本3-15-1,1964,代表取締役 川山 孝二,20 百万円,,,,
2024-08-01,株式会社上磯電気工業,その他,求人なし,青森県青森市大字新城字山田343-16,1991,代表取締役 沢田 和博,30 百万円,,,,
2024-08-01,株式会社大熊製作所,その他,求人なし,埼玉県草加市住吉1-7-7オーク第一ビル 4Ｆ,1948,代表取締役 大熊 章,20 百万円,,,,
2024-08-01,株式会社白石建設,その他,求人なし,埼玉県草加市清門1-272,1969,代表取締役 白石 保,50 百万円,,,,
2024-08-01,東洋エーエス株式会社,その他,求人なし,広島県広島市西区大芝3-12-18,1965,代表取締役 森 健太郎,10 百万円,,,,
2024-08-01,株式会社陽気館,その他,求人なし,静岡県伊東市末広町2-24,1948,代表取締役 稲葉 悦一,10 百万円,,,,
2024-08-01,株式会社フルライトユニオンコーポレーション,その他,求人なし,広島県広島市西区草津港1-11-71,1985,代表取締役 伏見 淳,10 百万円,,,,
2024-08-01,共立工建株式会社,その他,求人なし,長崎県長崎市布巻町145,1955,代表取締役 梅原 勇太郎,30 百万円,,,,
2024-08-01,株式会社丸美佐藤組,その他,求人なし,青森県青森市けやき1-2-8,1975,代表取締役 佐藤 善一,20 百万円,,,,
2024-08-01,畑林工業株式会社,その他,求人なし,広島県広島市西区山田町31-3,1962,代表取締役 畑林 道和,10 百万円,,,,
2024-08-01,大青工業株式会社,その他,求人なし,青森県青森市問屋町1-9-30,1950,代表取締役 鳴瀨 正彦,45 百万円,,,,
2024-08-01,株式会社舘山,その他,求人なし,青森県青森市問屋町1-3-15,1954,代表取締役 黒田 寛,48 百万円,,,,
2024-08-01,株式会社あづま屋,その他,求人なし,長崎県諫早市多良見町化屋1885,1967,代表取締役 古賀 新,5 百万円,,,,
2024-08-01,長崎県食品株式会社,その他,求人なし,長崎県諫早市久山町1910-10,1976,代表取締役 重松 伸吾,40 百万円,,,,
2024-08-01,有限会社飯塚商店,その他,求人なし,埼玉県川口市榛松1-4-1,1991,代表取締役 飯塚 進,3 百万円,,,,
2024-08-01,千葉設備工業株式会社,その他,求人なし,青森県青森市大字幸畑字谷脇162-7,1978,代表取締役 千葉 賢一郎,50 百万円,,,,
2024-08-01,有限会社二松建設,その他,求人なし,長崎県諫早市多良見町西川内54,1978,代表取締役 松本 博,5 百万円,,,,
2024-08-01,株式会社ワールド・アルマイト,その他,求人なし,広島県東広島市志和町志和西674-2,1986,代表取締役 中西 顕郎,30 百万円,,,,
2024-08-01,株式会社長芝メディカル,その他,求人なし,長崎県西彼杵郡長与町三根郷39-4,1970,代表取締役 髙原 優,20 百万円,,,,
2024-08-01,協同組合サンロード青森,特殊法人・財団法人・その他団体・連合会,求人なし,青森県青森市緑3-9-2,1969,代表理事 相馬 敏行,330 百万円,,,,
2024-08-01,株式会社ステージヴィラ,その他,求人なし,静岡県伊東市大原1-1-3,1994,代表取締役 角谷 仁美,10 百万円,,,,
2024-08-01,株式会社シティガス広島,その他,求人なし,広島県広島市西区大芝3-15-15ヴィラ大芝 2Ｆ,1973,代表取締役 木本 薫,10 百万円,,,,
2024-08-01,エイコー株式会社,その他,求人なし,埼玉県草加市苗塚町577トミキンビル 1Ｆ,1993,代表取締役 菊井 治,20 百万円,,,,
2024-08-01,川﨑機械製造株式会社,その他,求人なし,静岡県島田市向島町4618,1980,代表取締役 川﨑 康司,12 百万円,,,,
2024-08-01,株式会社パックセンターオイカワ,その他,求人なし,埼玉県草加市金明町1090,1997,代表取締役 及川 順陽,60 百万円,,,,
2024-08-01,株式会社ハー・ストーリィ,その他,求人なし,東京都港区六本木5-11-25鳥居坂アネックス 5Ｆ,1990,代表取締役 日野 佳恵子,10 百万円,,,,
2024-08-01,株式会社東青アロー,その他,求人なし,青森県青森市松森1-14-31,1974,代表取締役社長 花田 智樹,10 百万円,,,,
2024-08-01,株式会社三和技研,その他,求人なし,長崎県長崎市花園町30-1,1985,代表取締役 桑原 義徳,11 百万円,,,,
2024-08-01,株式会社プリモ,その他,求人なし,青森県青森市第二問屋町3-3-8,1975,代表取締役 佐治 隆一郎,40 百万円,,,,
2024-08-01,丸高興業株式会社,その他,求人なし,静岡県島田市船木1907-1,1976,代表取締役 村松 衛,10 百万円,,,,
2024-08-01,松尾工業株式会社,その他,求人なし,広島県広島市西区中広町3-19-3,1983,代表取締役 松尾 和幸,25 百万円,,,,
2024-08-01,株式会社青森資源,その他,求人なし,青森県青森市大字駒込字桐ノ沢121-3,1978,代表取締役 加賀谷 栄徳,10 百万円,,,,
2024-08-01,株式会社科研,その他,求人なし,静岡県島田市阪本110-26,1997,代表取締役 中道 英章,10 百万円,,,,
2024-08-01,株式会社メイテック,その他,求人なし,埼玉県八潮市大字伊草135,1998,代表取締役 松井 誠,15 百万円,,,,
2024-08-01,セーフティガード株式会社,その他,求人なし,静岡県島田市野田1121-1,1999,代表取締役 原 丈久,20 百万円,,,,
2024-08-01,三協自動車工業株式会社,その他,求人なし,青森県青森市大字細越字栄山590-12,1980,代表取締役 木村 英敬,10 百万円,,,,
